Paper ID,Title,Authors,Journal,Publication Date
40054034,"Pluripotent stem cell-derived mesenchymal stem cells for therapeutic applications, developmental study, and cancer research.","Fu S, Yeung CK, Xu RH",Curr Opin Genet Dev,2025 Mar 6
40054027,Core elements and principles of nutrition models of care for people with cancer: A scoping review.,"Loeliger J, Ugalde A, Porter J, Kiss N",Clin Nutr,2025 Feb 28
40054009,The Effect of X-ray Dose Photon-Counting Detector Computed Tomography on Nodule Properties in a Lung Cancer Screening Cohort: A Prospective Study.,"Kerber B, Ensle F, Kroschke J, Strappa C, Stolzmann-Hinzpeter R, Blüthgen C, Marty M, Larici AR, Frauenfelder T, Jungblut L",Invest Radiol,2025 Mar 10
40053904,System and Technology of Breast Intervention Robot: A Review.,"Du H, Wang Z, Zhang Y, Huang X, Wang X",Int J Med Robot,2025 Apr
40053902,Prospective Evaluation of the Pathologic Diagnosis and Treatment Outcomes of Pediatric Burkitt Lymphoma in the Central American Pediatric Hematology-Oncology Association Consortium.,"Kumar P, Metzger ML, Choi JK, Job G, Santiago TC, Peña A, Caniza MA, Agulnik A, Gassant PY, Gómez García WC, Calderón PJ, Garrido C, Rosado R, Fuentes Alabí S, Conter V, Devidas M, Carrillo AK, Chen Y, Friedrich P, Rodriguez Galindo C, Chantada GL, Santana VM",JCO Glob Oncol,2025 Mar
40053901,Germline Genetic Testing in Breast Cancer: Utilization and Disparities in a Middle-Income Country.,"Souza ABA, Barrios C, de Jesus RG, Reinert T, Giacomazzi J, Rosa DD, Cronemberger E, Werutsky G, Bines J, Queiroz GS, Cordeiro de Lima V, Freitas-Junior R, Couto Filho JD, Emerenciano K, Resende H, Crocamo S, Van Eyll B, Neron Y, Dybal V, Lazaretti NS, Costamilan RC, Andrade DAP, Mathias C, Vacaro GZ, Borges G, Morelle AM, Sampaio Filho CA, Mano M, Lichtenfels M, Simon SD, Fay AP",JCO Glob Oncol,2025 Mar
40053899,Real-World Analysis Evaluating Treatment Eligibility and Outcomes in Patients With AML Receiving Intensive Chemotherapy: Insights From an Underrepresented Population.,"Jain H, Eipe T, Shetty A, Nayak L, Bagal BP, Sharma N, Pawar A, Sengar M",JCO Glob Oncol,2025 Mar
40053896,Treatment of Pleural Mesothelioma: ASCO Guideline Clinical Insights.,"Kindler HL, Dagogo-Jack I, de Perrot M, Drazer MW, Ismaila N, Hassan R",JCO Oncol Pract,2025 Mar 7
40053891,Maintenance Chemotherapy in Patients With High-Risk Rhabdomyosarcoma: Long-Term Survival Analysis of the European Paediatric Soft Tissue Sarcoma Study Group RMS 2005 Trial.,"Bisogno G, Chisholm J, Hladun R, De Salvo GL, Guerin F, Casanova M, Mandeville H, Alaggio R, Coppadoro B, Orbach D, Ferrari A, van Rijn R, Defachelles AS, Ben-Arush M, Glosli H, Cesen M, Merks JHM, Minard-Colin V",J Clin Oncol,2025 Mar 7
40053865,Identification of Novel Fourth-Generation Allosteric Inhibitors Targeting Inactive State of EGFR T790M/L858R/C797S and T790M/L858R Mutations: A Combined Machine Learning and Molecular Dynamics Approach.,"Bhanja KK, Patra N",J Phys Chem B,2025 Mar 7
